"","season_name","season","episode","day","castaway_id","castaway","tribe","tribe_status"
"301","Survivor: Africa",3,3,9,46,"Lex","Boran","Original"
"302","Survivor: Africa",3,3,9,47,"Kim J.","Boran","Original"
"303","Survivor: Africa",3,3,9,48,"Ethan","Boran","Original"
"304","Survivor: Africa",3,3,9,35,"Carl","Samburu","Original"
"305","Survivor: Africa",3,3,9,36,"Linda","Samburu","Original"
"306","Survivor: Africa",3,3,9,37,"Silas","Samburu","Original"
"307","Survivor: Africa",3,3,9,38,"Lindsey","Samburu","Original"
"308","Survivor: Africa",3,3,9,41,"Brandon","Samburu","Original"
"309","Survivor: Africa",3,3,9,42,"Frank","Samburu","Original"
"310","Survivor: Africa",3,3,9,43,"Kim P.","Samburu","Original"
"311","Survivor: Africa",3,3,9,44,"Teresa","Samburu","Original"
"312","Survivor: Africa",3,4,12,39,"Clarence","Boran","Original"
"313","Survivor: Africa",3,4,12,40,"Kelly","Boran","Original"
"314","Survivor: Africa",3,4,12,45,"Tom","Boran","Original"
"315","Survivor: Africa",3,4,12,46,"Lex","Boran","Original"
"316","Survivor: Africa",3,4,12,47,"Kim J.","Boran","Original"
"317","Survivor: Africa",3,4,12,48,"Ethan","Boran","Original"
"318","Survivor: Africa",3,4,12,36,"Linda","Samburu","Original"
"319","Survivor: Africa",3,4,12,37,"Silas","Samburu","Original"
"320","Survivor: Africa",3,4,12,38,"Lindsey","Samburu","Original"
"321","Survivor: Africa",3,4,12,41,"Brandon","Samburu","Original"
"322","Survivor: Africa",3,4,12,42,"Frank","Samburu","Original"
"323","Survivor: Africa",3,4,12,43,"Kim P.","Samburu","Original"
"324","Survivor: Africa",3,4,12,44,"Teresa","Samburu","Original"
"325","Survivor: Africa",3,5,15,37,"Silas","Boran","Swapped"
"326","Survivor: Africa",3,5,15,39,"Clarence","Boran","Swapped"
"327","Survivor: Africa",3,5,15,42,"Frank","Boran","Swapped"
"328","Survivor: Africa",3,5,15,44,"Teresa","Boran","Swapped"
"329","Survivor: Africa",3,5,15,47,"Kim J.","Boran","Swapped"
"330","Survivor: Africa",3,5,15,48,"Ethan","Boran","Swapped"
"331","Survivor: Africa",3,5,15,38,"Lindsey","Samburu","Swapped"
"332","Survivor: Africa",3,5,15,40,"Kelly","Samburu","Swapped"
"333","Survivor: Africa",3,5,15,41,"Brandon","Samburu","Swapped"
"334","Survivor: Africa",3,5,15,43,"Kim P.","Samburu","Swapped"
"335","Survivor: Africa",3,5,15,45,"Tom","Samburu","Swapped"
"336","Survivor: Africa",3,5,15,46,"Lex","Samburu","Swapped"
"337","Survivor: Africa",3,6,18,39,"Clarence","Boran","Swapped"
"338","Survivor: Africa",3,6,18,42,"Frank","Boran","Swapped"
"339","Survivor: Africa",3,6,18,44,"Teresa","Boran","Swapped"
"340","Survivor: Africa",3,6,18,47,"Kim J.","Boran","Swapped"
"341","Survivor: Africa",3,6,18,48,"Ethan","Boran","Swapped"
"342","Survivor: Africa",3,6,18,38,"Lindsey","Samburu","Swapped"
"343","Survivor: Africa",3,6,18,40,"Kelly","Samburu","Swapped"
"344","Survivor: Africa",3,6,18,41,"Brandon","Samburu","Swapped"
"345","Survivor: Africa",3,6,18,43,"Kim P.","Samburu","Swapped"
"346","Survivor: Africa",3,6,18,45,"Tom","Samburu","Swapped"
"347","Survivor: Africa",3,6,18,46,"Lex","Samburu","Swapped"
"348","Survivor: Africa",3,7,21,39,"Clarence","Moto Maji","Merged"
"349","Survivor: Africa",3,7,21,40,"Kelly","Moto Maji","Merged"
"350","Survivor: Africa",3,7,21,41,"Brandon","Moto Maji","Merged"
"351","Survivor: Africa",3,7,21,42,"Frank","Moto Maji","Merged"
"352","Survivor: Africa",3,7,21,43,"Kim P.","Moto Maji","Merged"
"353","Survivor: Africa",3,7,21,44,"Teresa","Moto Maji","Merged"
"354","Survivor: Africa",3,7,21,45,"Tom","Moto Maji","Merged"
"355","Survivor: Africa",3,7,21,46,"Lex","Moto Maji","Merged"
"356","Survivor: Africa",3,7,21,47,"Kim J.","Moto Maji","Merged"
"357","Survivor: Africa",3,7,21,48,"Ethan","Moto Maji","Merged"
"358","Survivor: Africa",3,9,24,40,"Kelly","Moto Maji","Merged"
"359","Survivor: Africa",3,9,24,41,"Brandon","Moto Maji","Merged"
"360","Survivor: Africa",3,9,24,42,"Frank","Moto Maji","Merged"
"361","Survivor: Africa",3,9,24,43,"Kim P.","Moto Maji","Merged"
"362","Survivor: Africa",3,9,24,44,"Teresa","Moto Maji","Merged"
"363","Survivor: Africa",3,9,24,45,"Tom","Moto Maji","Merged"
"364","Survivor: Africa",3,9,24,46,"Lex","Moto Maji","Merged"
"365","Survivor: Africa",3,9,24,47,"Kim J.","Moto Maji","Merged"
"366","Survivor: Africa",3,9,24,48,"Ethan","Moto Maji","Merged"
"367","Survivor: Africa",3,10,27,41,"Brandon","Moto Maji","Merged"
"368","Survivor: Africa",3,10,27,42,"Frank","Moto Maji","Merged"
"369","Survivor: Africa",3,10,27,43,"Kim P.","Moto Maji","Merged"
"370","Survivor: Africa",3,10,27,44,"Teresa","Moto Maji","Merged"
"371","Survivor: Africa",3,10,27,45,"Tom","Moto Maji","Merged"
